identifier,category,timestamp,x,y
14.0,2.0,1683896495.6162639,671,302
14.0,2.0,1683896495.7663443,684,311
14.0,2.0,1683896495.9164248,701,322
14.0,2.0,1683896496.0665054,714,333
14.0,2.0,1683896496.216586,729,345
14.0,2.0,1683896496.3666666,745,359
14.0,2.0,1683896496.516747,766,378
14.0,2.0,1683896496.6668277,786,395
14.0,2.0,1683896496.8169084,805,413
14.0,2.0,1683896496.9669888,829,440
14.0,2.0,1683896497.1170692,861,465
14.0,2.0,1683896497.26715,890,494
14.0,2.0,1683896497.4172306,922,525
14.0,2.0,1683896497.567311,972,579
14.0,2.0,1683896497.7173915,1021,612
14.0,2.0,1683896497.8674722,1057,632
14.0,2.0,1683896498.0175529,1120,665
16.0,2.0,1683896495.787171,540,680
16.0,2.0,1683896495.905701,575,673
16.0,2.0,1683896496.024231,649,665
16.0,2.0,1683896496.142761,693,663
16.0,2.0,1683896496.261291,726,658
17.0,2.0,1683896495.787171,711,280
17.0,2.0,1683896495.9388065,728,286
17.0,2.0,1683896496.0904422,742,289
17.0,2.0,1683896496.2420778,756,295
17.0,2.0,1683896496.3937135,771,299
17.0,2.0,1683896496.5453491,792,307
17.0,2.0,1683896496.6969848,810,317
17.0,2.0,1683896496.8486204,831,328
17.0,2.0,1683896497.000256,857,345
17.0,2.0,1683896497.1518917,883,357
17.0,2.0,1683896497.3035274,908,374
17.0,2.0,1683896497.4551632,938,392
17.0,2.0,1683896497.606799,980,418
17.0,2.0,1683896497.7584345,1016,442
17.0,2.0,1683896497.9100702,1058,469
17.0,2.0,1683896498.0617058,1113,509
17.0,2.0,1683896498.2133415,1153,548
17.0,2.0,1683896498.3649771,1179,587
17.0,2.0,1683896498.5166128,1204,601
17.0,2.0,1683896498.6682484,1247,633
18.0,2.0,1683896496.2118044,624,284
18.0,2.0,1683896496.3753328,636,291
18.0,2.0,1683896496.538861,643,294
18.0,2.0,1683896496.7023895,654,302
18.0,2.0,1683896496.8659177,668,312
18.0,2.0,1683896497.0294461,682,323
18.0,2.0,1683896497.1929743,694,333
18.0,2.0,1683896497.3565028,711,346
18.0,2.0,1683896497.520031,729,363
18.0,2.0,1683896497.6835594,748,378
18.0,2.0,1683896497.8470879,764,395
18.0,2.0,1683896498.010616,789,419
18.0,2.0,1683896498.1741445,813,442
18.0,2.0,1683896498.3376727,840,469
18.0,2.0,1683896498.5012012,870,499
18.0,2.0,1683896498.6647294,912,544
18.0,2.0,1683896498.8282578,952,586
18.0,2.0,1683896498.991786,998,615
18.0,2.0,1683896499.1553144,1046,640
18.0,2.0,1683896499.3188426,1082,670
20.0,2.0,1683896496.356458,1200,346
20.0,2.0,1683896496.5433302,1184,339
20.0,2.0,1683896496.7302027,1166,334
20.0,2.0,1683896496.917075,1148,328
20.0,2.0,1683896497.1039474,1126,321
20.0,2.0,1683896497.2908196,1109,316
20.0,2.0,1683896497.477692,1093,311
20.0,2.0,1683896497.6645644,1074,304
20.0,2.0,1683896497.8514366,1058,300
20.0,2.0,1683896498.038309,1044,295
20.0,2.0,1683896498.2251813,1030,291
20.0,2.0,1683896498.4120536,1011,288
20.0,2.0,1683896498.598926,998,285
20.0,2.0,1683896498.7857983,985,283
20.0,2.0,1683896498.9726708,971,279
20.0,2.0,1683896499.159543,958,278
20.0,2.0,1683896499.3464153,944,277
20.0,2.0,1683896499.5332878,932,276
