identifier,category,timestamp,x,y
2.0,2.0,1682594202.688029,609,349
2.0,2.0,1682594202.8372262,614,354
2.0,2.0,1682594202.9864233,618,361
2.0,2.0,1682594203.1356204,622,369
2.0,2.0,1682594203.2848172,628,374
2.0,2.0,1682594203.4340143,632,380
2.0,2.0,1682594203.5832114,638,386
2.0,2.0,1682594203.7324085,643,390
2.0,2.0,1682594203.8816056,650,395
2.0,2.0,1682594204.0308025,656,403
2.0,2.0,1682594204.1799996,661,411
2.0,2.0,1682594204.3291967,662,421
2.0,2.0,1682594204.4783938,673,427
2.0,2.0,1682594204.627591,680,435
2.0,2.0,1682594204.776788,687,445
2.0,2.0,1682594204.9259849,693,454
2.0,2.0,1682594205.075182,701,460
2.0,2.0,1682594205.224379,707,469
2.0,2.0,1682594205.3735762,712,479
2.0,2.0,1682594205.5227733,718,486
2.0,2.0,1682594205.6719701,728,494
2.0,2.0,1682594205.8211672,735,505
2.0,2.0,1682594205.9703643,742,515
2.0,2.0,1682594206.1195614,750,528
2.0,2.0,1682594206.2687585,751,537
2.0,2.0,1682594206.4179554,758,541
2.0,2.0,1682594206.5671525,773,546
2.0,2.0,1682594206.7163496,776,548
2.0,2.0,1682594206.8655467,783,552
2.0,2.0,1682594207.0147438,792,557
2.0,2.0,1682594207.163941,806,560
2.0,2.0,1682594207.3131378,812,566
2.0,2.0,1682594207.4623349,821,568
2.0,2.0,1682594207.611532,829,572
2.0,2.0,1682594207.760729,835,577
2.0,2.0,1682594207.9099262,840,582
2.0,2.0,1682594208.059123,845,585
2.0,2.0,1682594208.2083201,851,589
2.0,2.0,1682594208.3575172,857,592
2.0,2.0,1682594208.5067143,862,598
2.0,2.0,1682594208.6559114,867,602
2.0,2.0,1682594208.8051085,869,608
2.0,2.0,1682594208.9543054,853,629
2.0,2.0,1682594209.1035025,838,672
3.0,6.0,1682594193.3133392,1137,511
3.0,6.0,1682594193.5053442,1128,507
3.0,6.0,1682594193.697349,1121,504
3.0,6.0,1682594193.889354,1116,500
3.0,6.0,1682594194.0813587,1099,489
3.0,6.0,1682594194.2733636,1096,486
3.0,6.0,1682594194.4653685,1096,486
3.0,6.0,1682594194.6573734,1094,482
3.0,6.0,1682594194.8493783,1095,481
3.0,6.0,1682594195.0413833,1094,477
3.0,6.0,1682594195.2333882,1093,475
3.0,6.0,1682594195.4253929,1092,474
3.0,6.0,1682594195.6173978,1091,473
3.0,6.0,1682594195.8094027,1077,470
3.0,6.0,1682594196.0014076,1082,468
3.0,6.0,1682594196.1934125,1084,464
3.0,6.0,1682594196.3854175,1088,460
3.0,6.0,1682594196.5774224,1088,456
3.0,6.0,1682594196.769427,1088,455
3.0,6.0,1682594196.961432,1088,452
3.0,6.0,1682594197.153437,1087,449
3.0,6.0,1682594197.3454418,1085,449
3.0,6.0,1682594197.5374467,1081,419
3.0,6.0,1682594197.7294517,1080,413
3.0,6.0,1682594197.9214566,1080,405
3.0,6.0,1682594198.1134615,1077,400
3.0,6.0,1682594198.3054662,1058,378
3.0,6.0,1682594198.497471,1049,372
3.0,6.0,1682594198.689476,1044,369
3.0,6.0,1682594198.881481,1037,361
3.0,6.0,1682594199.0734859,1030,347
3.0,6.0,1682594199.2654908,1025,336
3.0,6.0,1682594199.4574957,1020,337
