identifier,category,timestamp,x,y
18.0,2.0,1682594289.1366167,532,151
18.0,2.0,1682594289.3031943,529,151
18.0,2.0,1682594289.4697719,527,150
18.0,2.0,1682594289.6363494,516,150
18.0,2.0,1682594289.802927,512,149
18.0,2.0,1682594289.9695044,495,149
18.0,2.0,1682594290.136082,493,148
18.0,2.0,1682594290.3026595,491,148
19.0,2.0,1682594339.0435162,491,155
19.0,2.0,1682594339.3772101,493,156
19.0,2.0,1682594339.7109041,496,155
19.0,2.0,1682594340.044598,497,157
19.0,2.0,1682594340.378292,501,157
19.0,2.0,1682594340.711986,502,159
19.0,2.0,1682594341.04568,504,159
19.0,2.0,1682594341.379374,506,163
19.0,2.0,1682594341.713068,508,163
19.0,2.0,1682594342.046762,508,165
19.0,2.0,1682594342.380456,507,167
19.0,2.0,1682594342.7141502,507,170
19.0,2.0,1682594343.0478442,508,173
19.0,2.0,1682594343.3815382,507,175
19.0,2.0,1682594343.7152321,509,176
19.0,2.0,1682594344.048926,507,177
19.0,2.0,1682594344.38262,507,180
19.0,2.0,1682594344.716314,508,183
19.0,2.0,1682594345.050008,509,190
19.0,2.0,1682594345.383702,511,192
19.0,2.0,1682594345.717396,512,195
19.0,2.0,1682594346.05109,512,198
19.0,2.0,1682594346.384784,514,198
19.0,2.0,1682594346.718478,516,200
19.0,2.0,1682594347.052172,516,203
19.0,2.0,1682594347.385866,517,205
19.0,2.0,1682594347.71956,517,207
19.0,2.0,1682594348.053254,518,210
19.0,2.0,1682594348.3869479,521,211
19.0,2.0,1682594348.7206419,520,215
19.0,2.0,1682594349.0543358,522,216
19.0,2.0,1682594349.3880298,523,219
19.0,2.0,1682594349.721724,528,221
19.0,2.0,1682594350.055418,533,230
19.0,2.0,1682594350.389112,535,231
19.0,2.0,1682594350.722806,537,235
19.0,2.0,1682594351.0565,540,236
19.0,2.0,1682594351.390194,543,244
19.0,2.0,1682594351.723888,549,249
19.0,2.0,1682594352.057582,552,250
19.0,2.0,1682594352.391276,552,253
19.0,2.0,1682594352.7249699,557,258
19.0,2.0,1682594353.0586638,560,259
19.0,2.0,1682594353.3923578,562,263
19.0,2.0,1682594353.7260518,569,268
19.0,2.0,1682594354.0597458,575,280
